,ask,size
2018-10-01 00:31:06.192000+00:00,26601.0,12.0
2018-10-01 00:31:10.046000+00:00,26602.0,12.0
2018-10-01 00:31:11.802000+00:00,26601.0,10.0
2018-10-01 00:31:28.622000+00:00,26600.0,5.0
2018-10-01 00:31:28.972000+00:00,26601.0,10.0
2018-10-01 00:31:37.388000+00:00,26600.0,10.0
2018-10-01 00:31:42.997000+00:00,26599.0,5.0
2018-10-01 00:31:46.152000+00:00,26600.0,10.0
2018-10-01 00:31:54.213000+00:00,26601.0,10.0
2018-10-01 00:32:00.174000+00:00,26600.0,5.0
2018-10-01 00:32:02.982000+00:00,26601.0,10.0
2018-10-01 00:32:05.434000+00:00,26600.0,10.0
2018-10-01 00:32:06.837000+00:00,26601.0,10.0
2018-10-01 00:32:11.746000+00:00,26600.0,10.0
2018-10-01 00:32:19.461000+00:00,26601.0,10.0
2018-10-01 00:32:20.163000+00:00,26600.0,5.0
2018-10-01 00:32:27.873000+00:00,26602.0,22.0
2018-10-01 00:32:28.224000+00:00,26601.0,10.0
2018-10-01 00:32:29.626000+00:00,26600.0,10.0
2018-10-01 00:32:39.089000+00:00,26601.0,10.0
2018-10-01 00:32:46.801000+00:00,26600.0,10.0
2018-10-01 00:32:49.955000+00:00,26601.0,10.0
2018-10-01 00:32:51.008000+00:00,26602.0,12.0
2018-10-01 00:33:12.389000+00:00,26601.0,12.0
2018-10-01 00:33:21.152000+00:00,26602.0,12.0
2018-10-01 00:33:40.776000+00:00,26601.0,12.0
2018-10-01 00:33:51.291000+00:00,26602.0,12.0
2018-10-01 00:33:54.445000+00:00,26601.0,12.0
2018-10-01 00:34:08.814000+00:00,26603.0,22.0
2018-10-01 00:34:09.164000+00:00,26602.0,10.0
2018-10-01 00:34:09.514000+00:00,26601.0,5.0
2018-10-01 00:34:21.079000+00:00,26603.0,22.0
2018-10-01 00:34:21.430000+00:00,26602.0,10.0
2018-10-01 00:34:23.183000+00:00,26601.0,10.0
2018-10-01 00:34:28.438000+00:00,26602.0,10.0
2018-10-01 00:34:31.241000+00:00,26601.0,10.0
2018-10-01 00:34:31.591000+00:00,26602.0,12.0
2018-10-01 00:34:35.447000+00:00,26601.0,12.0
2018-10-01 00:34:42.104000+00:00,26602.0,12.0
2018-10-01 00:34:51.215000+00:00,26601.0,12.0
2018-10-01 00:34:54.017000+00:00,26602.0,12.0
2018-10-01 00:34:56.819000+00:00,26601.0,12.0
2018-10-01 00:35:02.777000+00:00,26602.0,12.0
2018-10-01 00:35:04.531000+00:00,26601.0,12.0
2018-10-01 00:35:13.295000+00:00,26602.0,12.0
2018-10-01 00:35:30.832000+00:00,26601.0,12.0
2018-10-01 00:35:31.534000+00:00,26602.0,12.0
2018-10-01 00:35:31.886000+00:00,26601.0,12.0
2018-10-01 00:35:32.939000+00:00,26602.0,12.0
2018-10-01 00:35:39.951000+00:00,26603.0,12.0
2018-10-01 00:35:46.608000+00:00,26602.0,10.0
2018-10-01 00:35:50.814000+00:00,26601.0,5.0
2018-10-01 00:35:51.163000+00:00,26602.0,10.0
2018-10-01 00:36:18.142000+00:00,26604.0,22.0
2018-10-01 00:36:18.492000+00:00,26603.0,10.0
2018-10-01 00:36:21.296000+00:00,26604.0,10.0
2018-10-01 00:36:21.646000+00:00,26603.0,5.0
2018-10-01 00:36:43.022000+00:00,26604.0,12.0
2018-10-01 00:36:43.373000+00:00,26603.0,10.0
